module,book section,category folder,required asset class,required data feeds,status,implementation dependency,may-enter-daily-score
cash/liquidity_management.py,17.3,cash,cash / secured lending,cash balances; funding and collateral terms; legal/credit constraints,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
cash/loan_sharking.py,17.6,cash,cash / secured lending,cash balances; funding and collateral terms; legal/credit constraints,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
cash/money_laundering_the_dark_side_of_cash.py,17.2,cash,cash / secured lending,cash balances; funding and collateral terms; legal/credit constraints,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
cash/pawnbroking.py,17.5,cash,cash / secured lending,cash balances; funding and collateral terms; legal/credit constraints,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
cash/repurchase_agreement_repo.py,17.4,cash,cash / secured lending,cash balances; funding and collateral terms; legal/credit constraints,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
commodities/portfolio_diversification_with_commodities.py,9.3,commodities,commodities and commodity derivatives,commodity spot and futures curves; inventories/positioning; contract metadata,proxy-only,"Map exposure to a liquid NSE commodity ETF (for example gold/silver), then add adjusted-OHLCV, benchmark and liquidity handling; this does not reproduce futures/inventory mechanics.",no
commodities/roll_yields.py,9.1,commodities,commodities and commodity derivatives,commodity spot and futures curves; inventories/positioning; contract metadata,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
commodities/skewness_premium.py,9.5,commodities,commodities and commodity derivatives,commodity spot and futures curves; inventories/positioning; contract metadata,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
commodities/trading_based_on_hedging_pressure.py,9.2,commodities,commodities and commodity derivatives,commodity spot and futures curves; inventories/positioning; contract metadata,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
commodities/trading_with_pricing_models.py,9.6,commodities,commodities and commodity derivatives,commodity spot and futures curves; inventories/positioning; contract metadata,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
commodities/value.py,9.4,commodities,commodities and commodity derivatives,commodity spot and futures curves; inventories/positioning; contract metadata,proxy-only,"Map exposure to a liquid NSE commodity ETF (for example gold/silver), then add adjusted-OHLCV, benchmark and liquidity handling; this does not reproduce futures/inventory mechanics.",no
convertibles/convertible_arbitrage.py,12.1,convertibles,convertible securities and equity/options hedges,convertible terms and prices; issuer equity; options/credit/rates; borrow,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
convertibles/convertible_option_adjusted_spread.py,12.2,convertibles,convertible securities and equity/options hedges,convertible terms and prices; issuer equity; options/credit/rates; borrow,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
cryptocurrencies/artificial_neural_network_ann.py,18.2,cryptocurrencies,cryptocurrencies,crypto OHLCV/order flow or text/news sentiment corpus,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
cryptocurrencies/sentiment_analysis_nave_bayes_bernoulli.py,18.3,cryptocurrencies,cryptocurrencies,crypto OHLCV/order flow or text/news sentiment corpus,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
distressed_assets/active_distressed_investing.py,15.2,distressed_assets,distressed debt / special situations,debt prices and capital structure; filings; restructuring/legal and recovery data,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
distressed_assets/buying_and_holding_distressed_debt.py,15.1,distressed_assets,distressed debt / special situations,debt prices and capital structure; filings; restructuring/legal and recovery data,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
distressed_assets/buying_outstanding_debt.py,15.2.2,distressed_assets,distressed debt / special situations,debt prices and capital structure; filings; restructuring/legal and recovery data,not-applicable for NSE cash equities on daily OHLCV,Requires non-OHLCV instrument/feed and execution support listed in required data feeds; no exact NSE cash-equity daily-OHLCV implementation.,no
